-2.551500, -8.923100, 1.570800
-2.501670, -8.426430, 1.370800
-2.354150, -7.949550, 1.170800
-2.206640, -7.472680, 1.370800
-2.156800, -6.976010, 1.570800
-2.106970, -6.479330, 1.370800
-2.057140, -5.982660, 1.570800
-2.106970, -5.485990, 1.770800
-2.229500, -5.001290, 1.826020
-2.403110, -4.533290, 2.026020
-2.576720, -4.065290, 1.826020
-2.680650, -3.576260, 1.773240
-2.731700, -3.079710, 1.573240
-2.697450, -2.581100, 1.480890
-2.702490, -2.081950, 1.680890
-2.806600, -1.593760, 1.880890
-3.001820, -1.134050, 2.022510
-3.220070, -0.684201, 2.022510
-3.438320, -0.234350, 2.022510
-3.695240, 0.193637, 2.211120
-4.031940, 0.562147, 2.411120
-4.435150, 0.856420, 2.611120
-4.888770, 1.064720, 2.811120
-5.374740, 1.178750, 3.011120
