-0.00002,0.00000,-0.00079
0.10382,-0.00346,-0.00747
0.22761,-0.01579,-0.02967
0.34743,-0.04118,-0.06156
0.46288,-0.07717,-0.10203
0.57487,-0.12149,-0.14755
0.68070,-0.17585,-0.19979
0.78022,-0.23861,-0.25499
0.87487,-0.30764,-0.31251
0.96340,-0.38329,-0.37170
1.04708,-0.46427,-0.43235
1.12662,-0.55033,-0.49118
1.20305,-0.64015,-0.54918
1.28159,-0.73085,-0.59932
1.36407,-0.82066,-0.63899
1.45033,-0.90870,-0.66713
1.54737,-0.98720,-0.66892
1.65311,-1.05122,-0.64552
1.76416,-1.10258,-0.60794
1.87837,-1.13924,-0.55909
1.99454,-1.16330,-0.50296
2.11117,-1.17686,-0.44355
2.22696,-1.18045,-0.38316
2.34322,-1.17681,-0.32146
2.45888,-1.16455,-0.25706
2.57242,-1.14539,-0.19646
2.68681,-1.12209,-0.13740
2.80017,-1.09330,-0.07839
2.91454,-1.06128,-0.02267
3.02794,-1.02523,0.02982
3.14257,-0.98806,0.07668
3.25860,-0.95089,0.11699
3.37587,-0.91403,0.15009
3.49507,-0.87953,0.17477
3.61549,-0.84832,0.19130
3.73720,-0.82041,0.19872
3.85975,-0.79608,0.19791
3.98292,-0.77521,0.19079
4.10667,-0.75753,0.17940
4.23070,-0.74248,0.16565
4.35504,-0.72899,0.15227
4.47944,-0.71652,0.14022
4.60382,-0.70509,0.12903
4.72850,-0.69768,0.11263
4.85334,-0.69427,0.09282
4.97819,-0.69413,0.07170
5.10259,-0.69745,0.04966
5.22732,-0.70364,0.02636
5.35231,-0.71186,0.00439
5.47764,-0.71537,-0.00303
5.60245,-0.71050,0.00731
5.72626,-0.69831,0.02630
5.84873,-0.67836,0.05163
5.96904,-0.65083,0.08319
6.08611,-0.61674,0.11821
6.20279,-0.57923,0.15216
6.32096,-0.54185,0.18000
6.43964,-0.50513,0.20251
6.55889,-0.46951,0.22094
6.67818,-0.43315,0.23708
6.79726,-0.39615,0.25089
6.91632,-0.35876,0.26213
7.03516,-0.32056,0.27225
7.15382,-0.28172,0.28134
7.27239,-0.24265,0.28919
7.39089,-0.20316,0.29614
7.50932,-0.16326,0.30232
7.62775,-0.12321,0.30751
