X Y Yaw
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.011260000000000048e+00 -9.267239999999999922e-01 -1.332619999999999916e+00
2.149630000000000152e+00 -1.676819999999999977e+00 1.673749999999999960e-01
3.171219999999999928e+00 -6.608579999999999455e-01 1.024969999999999937e+00
4.483279999999999710e+00 -2.907000000000000139e-01 -4.750269999999999770e-01
5.962469999999999715e+00 -3.222789999999999822e-01 8.045059999999999711e-02
7.457620000000000360e+00 -2.017329999999999957e-01 8.045059999999999711e-02
8.952769999999999229e+00 -8.118770000000000153e-02 8.045059999999999711e-02
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
